replicate,matched_placebo_right_minus_left,fallback_sampled_neurons
118,-0.001928394281682455,4692
119,-0.0027086695929481944,4692
120,0.0016035846286702703,4692
121,-0.0005667125388442058,4692
122,-0.0018519676877930859,4692
123,-0.001331548790487306,4692
124,-0.0013753935417486658,4692
125,-0.0014475335662456242,4692
126,-0.00012715396624020034,4692
127,0.001115732056600937,4692
128,-0.002873847950777067,4692
129,-9.698373180175995e-05,4692
130,-0.0021608181928344655,4692
131,-0.0027712578554373417,4692
132,-0.002166557794116883,4692
133,-0.0014309239264242712,4692
134,-0.0002313063575501914,4692
135,0.00016673213956587898,4692
136,0.00039411222840026947,4692
137,-0.0010892074672413377,4692
138,0.001468062567400983,4692
139,-0.0003171552502041,4692
140,-0.0020603466408197803,4692
141,0.0004849248332496024,4692
142,0.00013509298584109958,4692
143,0.0014001416830525595,4692
144,0.0015459323197342736,4692
145,1.0977668673209373e-05,4692
146,0.0026280715498558267,4692
147,-0.0013011923504873124,4692
148,-0.0028394013911191736,4692
149,0.0007694171620608245,4692
150,0.0006384958837432272,4692
151,-0.0010916027244197712,4692
152,0.0002664560770893262,4692
153,-0.00313991955897654,4692
154,0.0027520162899267626,4692
155,-0.0018452826532857972,4692
156,-0.0016050166292861795,4692
157,0.0013259374853429977,4692
158,-0.0004906467900576174,4692
159,-0.003188439146695747,4692
160,-0.0018254738621014746,4692
161,0.00014118475817105625,4692
162,-0.002714089484399093,4692
163,-0.00236487464219581,4692
164,-0.0021859408831405996,4692
165,-0.00023229402954294542,4692
166,-0.0011186753857800324,4692
167,0.002261877749726863,4692
168,0.0008656521825877034,4692
169,-0.0017203586878816839,4692
170,9.251921519851797e-06,4692
171,-0.001146440134283326,4692
172,-0.0003251683101045712,4692
173,-0.0021322807771726356,4692
174,-0.00048490731456842656,4692
175,-0.0004584180150415673,4692
176,0.0010513885879236025,4692
177,-0.003791103436811171,4692
178,-0.0007067943077182712,4692
179,-0.0006500982672942995,4692
180,0.001009976830538429,4692
181,0.000129209133966756,4692
182,-1.581205008163375e-05,4692
183,-0.0019415944148683945,4692
184,-0.0017181723900460584,4692
185,-0.0013807483548370705,4692
186,0.0008667881007011248,4692
187,-0.003683385589758205,4692
188,0.001616028516401153,4692
189,-0.001840667542959279,4692
190,-0.00438366220460179,4692
191,0.0016994954492240595,4692
192,-0.0013919432502684653,4692
193,-0.0020209460712822154,4692
194,-0.0037826659976636402,4692
195,-0.0022254905160411786,4692
196,-0.0028496150906011375,4692
197,-0.001743745205483909,4692
198,-0.00017156347893777096,4692
199,0.0004609401132319793,4692
200,0.0020382226283341513,4692
201,-0.002557744854723428,4692
202,-0.0020002700931948045,4692
203,-0.0035503022438741552,4692
204,-0.0009605810609375175,4692
205,-0.0024262782756979476,4692
206,7.214380577420104e-05,4692
207,-0.0005651437410659661,4692
208,-0.000675513191769804,4692
209,0.0017128747259059704,4692
210,-0.0022520088426516947,4692
211,0.0006350602663394711,4692
212,0.00011256138724884471,4692
213,0.0013925778202208104,4692
214,-0.0014234035611685215,4692
215,0.0005367734833403824,4692
216,-0.0012108428274171072,4692
217,-0.0041619661302893934,4692
218,6.857705117940469e-05,4692
219,-0.0025808627179490645,4692
220,-0.002273096664952408,4692
221,-0.0005336237980520311,4692
222,-0.0022009313692148737,4692
223,0.00048030137398267017,4692
224,0.001755884040509477,4692
225,-0.0027386320431482467,4692
226,-0.00221557112229041,4692
227,-0.0007715575818255556,4692
228,0.00028657296513094274,4692
229,-8.043250032157417e-06,4692
230,0.0005015068821207919,4692
231,0.001145972512414089,4692
232,-0.002279555675350469,4692
233,0.00017133844069030027,4692
234,0.00025569582680205066,4692
235,0.00035187603002064666,4692
236,0.001549830665179639,4692
237,-0.0010442392645336161,4692
238,-0.0016773332221994633,4692
239,-0.002378219680099748,4692
240,-0.001238264919160386,4692
241,-0.0013171259454431324,4692
242,-0.002555379618598308,4692
243,-0.0005239447123491815,4692
244,-0.001162170143575534,4692
245,-0.002150042783580712,4692
246,-0.0002116665713117298,4692
247,0.0003806166499056851,4692
248,0.0009919595369270902,4692
249,-0.0018735065167391693,4692
250,-0.003307464327256957,4692
251,-0.0016059266266942457,4692
252,-0.0006824079436787561,4692
253,-0.0015554867706543025,4692
254,-0.0032029746826375063,4692
255,0.0003745521732703948,4692
256,0.0025048532433016614,4692
257,-0.0012541305943973152,4692
258,0.0008256885091240292,4692
259,-0.00382638269801212,4692
260,-0.0014894933748523138,4692
261,-0.002987040513483967,4692
262,0.0018068201545955453,4692
263,-0.0017158051860288737,4692
264,9.718737451595502e-05,4692
265,-0.002501981866137426,4692
266,-0.003200085437281265,4692
267,-0.003263024010927939,4692
268,-0.0021797611599522274,4692
269,-0.0013090282571452325,4692
270,0.0012435740414927648,4692
271,0.000911851620363998,4692
272,-0.0009265735005416845,4692
273,4.6012690782030324e-05,4692
274,-0.0008359095412246928,4692
