cohort,selection_rule,case_id,case_class,glomeruli,lateral_code_index_real3_delta_vs_sym_arbor,lateral_code_index_real3_delta_vs_sym_baseline,lateral_code_index_real3_minus_mirror_arbor,lateral_code_index_real3_minus_mirror_baseline,lateral_code_index_real3_minus_shuffle_arbor,lateral_code_index_real3_minus_shuffle_baseline,mean_spike_count_real3_delta_vs_sym_arbor,mean_spike_count_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_delta_vs_sym_arbor,normalized_effective_dimension_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_minus_mirror_arbor,normalized_effective_dimension_real3_minus_mirror_baseline,normalized_effective_dimension_real3_minus_shuffle_arbor,normalized_effective_dimension_real3_minus_shuffle_baseline
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_068_VA7m_VC5_VL2p,support_extra,VA7m;VC5;VL2p,0.2160956205178331,0.24157975209235,0.2882163757442004,0.3228237738442163,0.2134651924299627,0.2388895641368994,-520.1666666666679,3.552713678800501e-15,-0.0009892082971317,4.379796944746495e-05,-0.0040191881298409,0.0005035645086795,-0.0032126412105908,0.0001951042949208
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_069_VA4_DM2_DL2v_DM6,support_extra,VA4;DM2;DL2v;DM6,0.257270851860871,0.2820640716235663,0.3462330696608821,0.3813780539148904,0.2594906971377154,0.2790900383911455,-354.20833333333576,3.552713678800501e-15,-0.0004936529129241,0.0008356691787779,-0.0004001610396369,0.0025213696367324,-0.0028993550413628,0.0015092921411341
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_070_VA7m_VA6_VC3,support_extra,VA7m;VA6;VC3,0.2106862143861117,0.2483812632757028,0.2781043332193257,0.3300140334307882,0.2062665572645207,0.2446038440144064,-687.25,0.0,-0.0009516210806771,-0.0009122078107168,-0.001821562853814,-0.0004072835323662,-0.00218566132775,-0.0005746887368389
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_071_VA7l_DC2_VC5_DA1,support_extra,VA7l;DC2;VC5;DA1,0.2340871692973927,0.25188631041144,0.3020105837939442,0.3399320746884249,0.2280116660844597,0.2554621279761637,-377.20833333333576,-3.552713678800501e-15,0.0044557045643243,-0.0006699996063423,0.0022712455973829,0.0003697879409672,-2.5868670384224766e-05,-9.838601158249538e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_000_DM1_DP1m,support_pair,DM1;DP1m,0.3342763534632993,0.3675348302119805,0.4492451310360346,0.4989495706162573,0.3301713704652995,0.3678964519209484,-216.3333333333321,3.552713678800501e-15,-0.006216027993643,-0.0002740778687684,-0.0056057729783455,0.0003384389322368,-0.0049545233623203,-1.2157194500999996e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_001_DP1m_DC1,support_pair,DP1m;DC1,0.2529527304935295,0.3137964204517768,0.3374784929758503,0.421303890001914,0.2547954036821339,0.3061603045595029,-28.58333333333212,3.552713678800501e-15,-0.0018679637122722,-0.0008888687988908,-0.0015450010630018,0.0002428475195928,-0.0030066664709694,-0.000406082177303
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_002_DP1l_DC1,support_pair,DP1l;DC1,0.2050221441873803,0.2197798318665267,0.2682650839592839,0.2937192555739848,0.205707165052296,0.2181318430907582,-1009.333333333332,-7.105427357601002e-15,0.0029836120601976,-0.0002517498522785,0.001034126115637,-0.0003144232104756,0.0014082035560281,-0.0001882871343141
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_003_DC1_VA2,support_pair,DC1;VA2,0.1916325659993401,0.2232025674538544,0.2586375720333972,0.3034240270756088,0.1942816148838549,0.2224386829395794,-514.625,-3.552713678800501e-15,0.0002443257771597,-0.0004772262064686,-0.0003986810989124,-0.0001890244041724,-0.0007752738175131,-9.8945882888225e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_004_VA2_DM4,support_pair,VA2;DM4,0.2082386687889505,0.2338893397320574,0.2784111347336179,0.3130052092382882,0.2068447857003028,0.2311950424266354,-221.375,-7.105427357601002e-15,-0.0017360315456928,3.453742749943284e-05,-0.0015352821342841,0.0003121341228933,-0.0025022964091293,0.0001352976414163
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_005_DM4_VL2p,support_pair,DM4;VL2p,0.2130132303246752,0.2330345909018727,0.2794261776756525,0.3103123308013854,0.2097800991108197,0.2272893761031502,-221.29166666666424,3.552713678800501e-15,-0.0047640268904536,0.0003846510440679,-0.0060237360484933,0.0006470370812864,-0.0054031514594481,0.0003579354468844
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_006_VL2p_VC5,support_pair,VL2p;VC5,0.1891812132728613,0.2257796341853454,0.2508419636193432,0.3073314356387899,0.1873972203170058,0.2248964083615179,-768.8333333333358,-3.552713678800501e-15,-0.000114040982386,-0.0001123212736063,-0.0009366354785856,0.0002624496931806,-0.0011431641002837,0.0001540864684909
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_007_VC5_DL2v,support_pair,VC5;DL2v,0.2025435487816679,0.2182958950295428,0.2622056838417282,0.2852650509427863,0.202046116547822,0.2150831007455569,-1274.25,-7.105427357601002e-15,0.0013392589403261,-0.0005665207781313,4.525059884460015e-05,-0.0003111507983294,0.0002254628776851,-0.0002537382786019
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_008_DL2v_VM5d,support_pair,DL2v;VM5d,0.1790097670110176,0.211865738997944,0.238440855931467,0.2843503688214591,0.1795320461765303,0.2079270419220131,-793.5,0.0,-0.0003239415078519,-0.0006631555708307,-0.0015108079754292,-0.0004808989000186,-0.0014029164788163,-0.0004126387387107
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_009_VM5d_DL1,support_pair,VM5d;DL1,0.1927465905600697,0.2386763123172279,0.2600771445495369,0.3225988555584815,0.1919070429845843,0.2377917773505745,-411.7916666666642,3.552713678800501e-15,-0.0025807479071227,-0.0007423228262247,-0.0031678132665884,-0.0004600830721708,-0.0033399278131309,-0.0002692581767946
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_010_DL1_DA1,support_pair,DL1;DA1,0.1693867826602966,0.1943915951584596,0.2286280032511947,0.2683496853657976,0.1735768926007062,0.1977686841346899,-924.375,3.552713678800501e-15,-0.0011935516422493,-0.000434502339702,-0.0016298507658738,-0.0002195418468657,-0.0018941460500135,-0.0003569974188998
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_011_DA1_V,support_pair,DA1;V,0.1896084317857434,0.2416147084864577,0.2431920266593852,0.3148431857605344,0.1884258126721115,0.2375989557611117,-877.625,-3.552713678800501e-15,-0.0007119095945944,-0.000364885880498,-0.0029579703136681,0.000384850758073,-0.0018235291261489,-9.342690098867495e-05
